약국명,지역,주소,개설일자,경도,위도
연세약국,중구,"서울특별시 중구 통일로 10 (남대문로5가, 연세빌딩)",20040531,126.9736575,37.5570913
세광약국,동대문구,서울특별시 동대문구 왕산로 171 (제기동),19940203,127.0421254,37.5795011
정약국,강동구,서울특별시 강동구 진황도로49길 49 (길동),19950412,127.1425560,37.5349915
행복한약국,서대문구,서울특별시 서대문구 세무서길 12 1층 (홍제동),20190226,126.9456599,37.5885260
삼호약국,노원구,"서울특별시 노원구 마들로 111 207, 208호 (월계동, 나상가)",19980304,127.0657785,37.6239862
연신내영재약국,은평구,"서울특별시 은평구 연서로 246 (불광동, 타워클리닉)",20050915,126.9226206,37.6190598
송약국,강서구,"서울특별시 강서구 양천로 637 104호 (염창동, 삼성아파트상가)",19950801,126.8681833,37.5547321
장수당약국,도봉구,서울특별시 도봉구 도봉로 859 (도봉동),20000329,127.0452114,37.6812467
우진당약국,동대문구,서울특별시 동대문구 사가정로13길 3 1층 (전농동),19951009,127.0579570,37.5781259
에이스약국,강서구,서울특별시 강서구 화곡로 197 1-3호 (화곡동),20110317,126.8426550,37.5433574
부영약국,강서구,서울특별시 강서구 강서로56나길 110 (등촌동),19951129,126.8436016,37.5636292
강림약국,동작구,서울특별시 동작구 시흥대로 668-2 (신대방동),20000802,126.9085604,37.4910601
차기정약국,구로구,서울특별시 구로구 개봉로3길 76 (개봉동),19951212,126.8520967,37.4862558
강남허브약국,강남구,"서울특별시 강남구 학동로 342 109호 (논현동, SK허브빌딩)",20130329,127.0408461,37.5167495
옵티마상도약국,동작구,"서울특별시 동작구 상도로53길 6 1층 (상도동, 순현빌딩)",20090102,126.9533125,37.4977708
건강한약국,성북구,서울특별시 성북구 동소문로42길 14 1층 (하월곡동),19960221,127.0277714,37.6057331
온누리우인약국,강남구,서울특별시 강남구 일원로 39 (일원동),19960702,127.0813255,37.4903399
명진당약국,용산구,서울특별시 용산구 청파로 387 (서계동),19960718,126.9688053,37.5542481
백두약국,구로구,서울특별시 구로구 오류로8길 26 (오류동),20030314,126.8421973,37.4912858
해피홈약국,송파구,"서울특별시 송파구 오금로 512 207호 (거여동, 거여역2차쌍용아파트 207호)",20150605,127.1455380,37.4928771
다정약국,용산구,"서울특별시 용산구 한강대로104길 51 1층 (동자동, 남영빌딩(제1호))",20070507,126.9749907,37.5505792
새중앙약국,동작구,서울특별시 동작구 노량진로 110 113호 (노량진동),20051031,126.9380558,37.5132094
시흥프라자약국,금천구,서울특별시 금천구 독산로 135-1 (시흥동),19961025,126.9047827,37.4595066
프라자약국,마포구,서울특별시 마포구 신촌로 238 1층 (아현동),19961209,126.9521578,37.5569522
하나로약국,노원구,"서울특별시 노원구 초안산로 7 105호 (월계동, 월계2단지주공아파트종합상가)",19991113,127.0549359,37.6285969
부부약국,구로구,"서울특별시 구로구 오류로8길 60 (오류동, 우성빌딩)",20010509,126.8436844,37.4922386
효약국,강동구,"서울특별시 강동구 천호대로 1099 5층 (천호동, 정산타워)",20100409,127.1341414,37.5357686
새우리약국,중구,서울특별시 중구 동호로 177 (신당동),20171127,127.0110205,37.5539132
웰빙국내선약국,강서구,"서울특별시 강서구 하늘길 112 3층 (공항동, 국내선청사)",19840928,126.8085128,37.5567762
새한약국,강서구,서울특별시 강서구 등촌로 173 1층 (등촌동),19860705,126.8620959,37.5454252
녹십자약국,강서구,서울특별시 강서구 화곡로64길 78 (등촌동),19830627,126.8571345,37.5558323
보미진온누리약국,양천구,서울특별시 양천구 등촌로 224 (목동),20141001,126.8640515,37.5495549
주약국,강서구,서울특별시 강서구 공항대로 23 (공항동),19800804,126.8098344,37.5617378
한진약국,강서구,"서울특별시 강서구 우현로 26 101동 B202호 (화곡동, 우장산에스케이뷰)",19820112,126.8430472,37.5481388
온누리성원약국,강서구,서울특별시 강서구 방화동로16길 32 (방화동),19860503,126.8125932,37.5715205
광일약국,관악구,서울특별시 관악구 양녕로 38 (봉천동),19770506,126.9470199,37.4853294
속편한약국,은평구,서울특별시 은평구 갈현로 206 (갈현동),20040106,126.9137794,37.6157792
화타팜성심약국,동작구,서울특별시 동작구 상도로 144 1층 (상도동),20110901,126.9356092,37.5025600
봉천당약국,관악구,서울특별시 관악구 봉천로 518 (봉천동),19850124,126.9556234,37.4796143
남영약국,서초구,서울특별시 서초구 동광로 75 1층 (방배동),20070313,126.9906663,37.4930534
조광약국,관악구,서울특별시 관악구 쑥고개로 70 (봉천동),19830506,126.9441835,37.4793696
우리약국,영등포구,서울특별시 영등포구 도림로 322 (신길동),19961115,126.9019206,37.5063544
참사랑약국,송파구,"서울특별시 송파구 올림픽로 212 (잠실동, 갤러리아팰리스 2층)",20060801,127.0939713,37.5111896
