지역, 학교명, 1학년 학급수, 1학년 학생수, 2학년 학급수, 2학년 학생수, 3학년 학급수, 3학년 학생수
울산광역시 동구,울산생활과학고등학교,8,192,10,251,10,288
울산광역시 울주군,울산미용예술고등학교,6,128,6,138,6,146
울산광역시 남구,울산여자고등학교,10,236,10,229,12,313
울산광역시 남구,울산여자상업고등학교,10,241,11,285,12,360
울산광역시 울주군,울산예술고등학교,4,73,4,86,4,79
울산광역시 북구,울산마이스터고등학교,6,120,6,115,6,113
울산광역시 남구,울산제일고등학교,9,189,8,191,10,229
울산광역시 중구,울산중앙고등학교,7,162,7,160,8,177
울산광역시 중구,울산중앙여자고등학교,8,184,7,160,8,236
울산광역시 북구,울산에너지고등학교,6,121,6,116,6,118
울산광역시 남구,학성고등학교,12,294,12,280,10,303
울산광역시 중구,학성여자고등학교,8,193,7,162,8,237
울산광역시 동구,현대고등학교,8,194,8,188,8,197
울산광역시 동구,현대공업고등학교,6,120,6,113,6,112
울산광역시 동구,현대청운고등학교,6,181,7,173,7,176
울산광역시 울주군,세인고등학교,4,65,4,76,6,104
울산광역시 동구,화암고등학교,7,154,7,165,7,179
울산광역시 북구,효정고등학교,6,145,6,127,7,162
울산광역시 중구,울산애니원고등학교,4,99,4,95,4,99
울산광역시 중구,함월고등학교,8,206,8,181,8,271
울산광역시 중구,다운고등학교,7,163,7,158,8,209
울산광역시 울주군,울산과학고등학교,4,71,4,72,4,42
울산광역시 동구,남목고등학교,8,191,7,169,7,195
울산광역시 남구,삼산고등학교,8,194,8,197,8,255
울산광역시 남구,대현고등학교,8,193,7,170,8,222
울산광역시 남구,신선여자고등학교,8,186,7,166,8,207
울산광역시 남구,무거고등학교,8,177,7,167,8,211
울산광역시 동구,문현고등학교,8,180,7,167,7,188
울산광역시 북구,호계고등학교,8,225,8,219,8,231
울산광역시 울주군,범서고등학교,10,335,10,332,10,367
울산광역시 북구,달천고등학교,10,266,10,236,10,307
울산광역시 북구,울산외국어고등학교,7,162,7,145,7,159
울산광역시 남구,울산강남고등학교,8,190,7,161,8,204
울산광역시 북구,화봉고등학교,8,206,7,168,8,190
울산광역시 북구,매곡고등학교,8,226,8,223,8,236
울산광역시 울주군,천상고등학교,10,302,8,240,8,268
울산광역시 울주군,언양고등학교,6,156,6,132,6,140
울산광역시 북구,울산스포츠과학고등학교,3,84,3,69,3,62
울산광역시 중구,약사고등학교,10,256,10,242,10,330
울산광역시 울주군,울산산업고등학교,9,172,11,212,11,274
울산광역시 울주군,온산고등학교,4,86,4,79,4,114
울산광역시 남구,학성고등학교부설방송통신고등학교,2,60,2,60,3,70
세종특별자치시 세종특별자치시,성남고등학교,8,163,8,182,8,151
세종특별자치시 세종특별자치시,세종여자고등학교,9,190,10,216,10,219
세종특별자치시 세종특별자치시,한솔고등학교,8,209,8,208,8,200
세종특별자치시 세종특별자치시,세종하이텍고등학교,6,107,6,118,6,133
세종특별자치시 세종특별자치시,세종고등학교,10,249,10,247,10,233
세종특별자치시 세종특별자치시,아름고등학교,12,305,10,248,10,247
세종특별자치시 세종특별자치시,도담고등학교,8,200,8,201,8,202
세종특별자치시 세종특별자치시,세종국제고등학교,5,106,5,100,5,96
세종특별자치시 세종특별자치시,종촌고등학교,12,301,10,255,9,228
세종특별자치시 세종특별자치시,고운고등학교,7,154,7,156,7,156
세종특별자치시 세종특별자치시,세종예술고등학교,4,80,4,78,0,0
세종특별자치시 세종특별자치시,세종과학예술영재학교,6,97,6,94,6,91
세종특별자치시 세종특별자치시,양지고등학교,10,244,9,224,9,219
세종특별자치시 세종특별자치시,두루고등학교,9,219,8,184,8,181
세종특별자치시 세종특별자치시,소담고등학교,7,157,5,125,4,100
세종특별자치시 세종특별자치시,보람고등학교,9,228,6,157,6,147
세종특별자치시 세종특별자치시,새롬고등학교,12,301,11,267,10,241
세종특별자치시 세종특별자치시,다정고등학교,8,200,0,0,0,0
경기도 가평군,가평고등학교,8,206,8,201,8,232
경기도 수원시 장안구,경기과학고등학교,8,126,8,127,8,127
경기도 수원시 권선구,경기대명고등학교,2,17,2,21,2,25
경기도 수원시 장안구,경기체육고등학교,3,104,3,81,3,90
경기도 이천시,이천세무고등학교,2,50,2,44,2,47
경기도 의정부시,경민고등학교,10,248,10,247,10,271
경기도 의정부시,경민비즈니스고등학교,9,226,9,194,9,229
경기도 의정부시,경민IT고등학교,8,199,8,207,8,208
경기도 안산시 단원구,경안고등학교,14,350,14,357,16,467
경기도 안산시 단원구,경일관광경영고등학교,12,287,12,294,12,306
경기도 광주시,경화여자고등학교,12,331,12,304,12,363
경기도 부천시,계남고등학교,10,247,10,259,10,279
경기도 성남시 분당구,계원예술고등학교,8,327,8,317,8,321
경기도 고양시 일산서구,백송고등학교,5,126,5,123,5,122
경기도 고양시 덕양구,고양외국어고등학교,10,244,10,235,10,255
경기도 고양시 덕양구,고양고등학교,8,196,8,189,8,202
경기도 안산시 단원구,고잔고등학교,13,330,12,319,14,428
경기도 과천시,과천고등학교,8,198,8,186,9,214
경기도 과천시,과천여자고등학교,8,143,8,165,9,193
경기도 과천시,과천외국어고등학교,10,224,10,216,10,240
경기도 과천시,과천중앙고등학교,8,177,8,186,9,207
경기도 안양시 동안구,경기글로벌통상고등학교,6,47,11,98,15,155
경기도 안양시 동안구,관양고등학교,12,337,12,321,12,370
경기도 포천시,관인고등학교,2,33,2,26,2,35
경기도 남양주시,광동고등학교,12,350,12,329,12,371
경기도 의정부시,의정부광동고등학교,10,254,10,196,10,228
경기도 광명시,광명고등학교,11,311,11,292,12,344
경기도 광명시,광명공업고등학교,4,63,4,82,4,57
경기도 광명시,광명북고등학교,12,338,12,308,15,423
경기도 광명시,명문고등학교,12,339,12,312,14,381
경기도 광명시,광명경영회계고등학교,10,189,10,176,10,137
경기도 광명시,광문고등학교,11,307,11,289,12,327
경기도 광주시,광주고등학교,12,314,13,314,13,387
경기도 광주시,곤지암고등학교,8,131,9,115,9,159
경기도 광주시,광주중앙고등학교,14,378,14,354,14,451
경기도 파주시,광탄고등학교,4,95,4,90,4,92
경기도 구리시,구리고등학교,9,242,9,229,11,304
경기도 구리시,구리여자고등학교,9,237,9,236,11,269
경기도 시흥시,군자디지털과학고등학교,8,151,8,172,8,202
경기도 군포시,군포고등학교,11,314,11,298,12,344
경기도 군포시,군포e비즈니스고등학교,12,169,12,136,12,205
경기도 수원시 권선구,권선고등학교,13,360,13,340,14,408
경기도 안양시 만안구,근명여자정보고등학교,10,231,10,183,10,234
경기도 남양주시,금곡고등학교,12,306,12,284,12,294
경기도 용인시 기흥구,기흥고등학교,10,300,10,257,10,319
경기도 김포시,김포고등학교,11,362,11,366,11,364
경기도 김포시,김포제일공업고등학교,9,247,9,202,9,228
경기도 성남시 분당구,낙생고등학교,10,286,10,261,11,313
경기도 양주시,한국외식과학고등학교,4,120,4,115,4,107
경기도 화성시,남양고등학교,6,164,6,162,6,177
경기도 남양주시,남양주공업고등학교,9,152,9,185,9,193
경기도 하남시,남한고등학교,8,218,8,200,8,198
경기도 고양시 덕양구,능곡고등학교,12,301,12,274,12,321
경기도 안산시 단원구,대부고등학교,2,16,2,24,2,34
경기도 여주시,대신고등학교,3,85,3,86,3,92
경기도 수원시 장안구,대평고등학교,11,297,11,265,11,324
경기도 부천시,덕산고등학교,10,238,10,221,10,254
경기도 남양주시,덕소고등학교,12,375,12,331,12,364
경기도 양주시,덕정고등학교,9,298,9,286,9,290
경기도 부천시,도당고등학교,10,251,10,231,10,266
경기도 포천시,동남고등학교,10,290,10,287,10,303
경기도 동두천시,동두천고등학교,5,149,5,126,5,148
경기도 동두천시,한국문화영상고등학교,8,200,8,200,8,202
경기도 동두천시,동두천중앙고등학교,7,185,7,152,7,179
경기도 안양시 동안구,동안고등학교,13,374,13,350,13,394
경기도 수원시 장안구,동우여자고등학교,12,296,12,257,12,310
경기도 수원시 장안구,동원고등학교,13,348,13,307,14,390
경기도 평택시,동일공업고등학교,10,282,10,284,10,317
경기도 남양주시,동화고등학교,15,448,15,426,15,471
경기도 화성시,두레자연고등학교,2,41,2,35,2,38
경기도 이천시,마장고등학교,3,43,3,32,3,65
경기도 수원시 팔달구,매향여자정보고등학교,12,335,12,326,12,328
경기도 고양시 덕양구,무원고등학교,12,256,12,276,12,321
경기도 파주시,문산고등학교,5,111,5,116,5,126
경기도 파주시,문산수억고등학교,10,239,10,234,10,255
경기도 파주시,문산제일고등학교,11,272,11,270,11,279
경기도 안산시 상록구,경기모바일과학고등학교,10,215,10,243,10,248
경기도 화성시,발안바이오과학고등학교,4,106,4,97,4,99
경기도 고양시 일산동구,백마고등학교,12,333,12,320,14,400
경기도 고양시 일산동구,백석고등학교,12,316,12,323,12,349
경기도 고양시 일산동구,백신고등학교,12,322,12,322,14,380
경기도 용인시 처인구,백암고등학교,4,79,4,94,4,89
경기도 고양시 덕양구,백양고등학교,12,308,12,269,12,326
경기도 안양시 동안구,백영고등학교,12,342,12,321,12,349
경기도 의왕시,백운고등학교,12,267,12,258,12,296
경기도 동두천시,보영여자고등학교,7,132,7,140,7,169
경기도 부천시,부명고등학교,10,254,10,266,10,281
경기도 부천시,경기국제통상고등학교,12,301,12,300,12,283
경기도 부천시,상동고등학교,10,253,10,256,10,282
경기도 부천시,부천고등학교,10,250,10,249,10,263
경기도 부천시,부천공업고등학교,16,207,16,275,16,368
경기도 부천시,부천북고등학교,10,246,10,248,10,269
경기도 부천시,부천여자고등학교,10,246,10,200,10,252
경기도 부천시,부천정보산업고등학교,12,251,12,272,12,282
경기도 안양시 동안구,부흥고등학교,13,374,13,354,13,400
경기도 성남시 분당구,분당고등학교,10,295,10,269,10,311
경기도 성남시 분당구,분당대진고등학교,12,343,12,304,12,343
경기도 성남시 분당구,분당경영고등학교,12,227,12,229,12,260
경기도 성남시 분당구,분당중앙고등학교,10,285,10,263,10,305
경기도 성남시 분당구,불곡고등학교,10,281,10,257,10,268
경기도 화성시,비봉고등학교,11,242,11,208,11,260
경기도 김포시,사우고등학교,11,360,11,359,11,347
경기도 군포시,산본고등학교,15,392,14,347,15,420
경기도 군포시,산본공업고등학교,7,100,6,84,6,99
경기도 파주시,삼광고등학교,2,51,2,30,2,51
경기도 화성시,삼괴고등학교,8,208,8,215,8,208
경기도 수원시 팔달구,삼일공업고등학교,14,370,14,385,14,381
경기도 수원시 팔달구,삼일상업고등학교,12,335,12,333,12,323
경기도 구리시,서울삼육고등학교,8,228,8,206,8,214
경기도 시흥시,서해고등학교,11,355,11,332,11,332
경기도 성남시 분당구,서현고등학교,10,294,10,272,10,320
경기도 가평군,설악고등학교,2,54,2,54,2,59
경기도 성남시 중원구,성남테크노과학고등학교,9,153,9,156,9,208
경기도 성남시 중원구,성남고등학교,9,203,9,194,9,215
경기도 성남시 중원구,성남여자고등학교,10,231,10,224,10,251
경기도 성남시 분당구,성남금융고등학교,12,134,12,164,12,250
경기도 안양시 만안구,성문고등학교,11,316,11,288,11,327
경기도 성남시 수정구,성보경영고등학교,15,378,15,357,15,377
경기도 안산시 상록구,성안고등학교,13,334,13,341,14,424
경기도 성남시 중원구,성일고등학교,12,279,12,266,13,340
경기도 성남시 중원구,동광고등학교,10,232,10,214,11,264
경기도 성남시 중원구,성일정보고등학교,15,371,15,363,15,365
경기도 오산시,성호고등학교,10,302,10,278,10,299
경기도 고양시 일산동구,세원고등학교,8,174,8,147,8,187
경기도 시흥시,소래고등학교,13,360,14,362,14,399
경기도 부천시,소명여자고등학교,11,273,11,234,11,296
경기도 부천시,소사고등학교,10,193,10,186,10,236
경기도 광명시,소하고등학교,12,344,12,313,15,411
경기도 성남시 분당구,송림고등학교,10,277,10,257,11,300
경기도 화성시,송산고등학교,4,110,4,86,4,87
경기도 평택시,송탄고등학교,6,163,6,142,6,170
경기도 평택시,라온고등학교,6,161,6,161,6,174
경기도 의정부시,송현고등학교,11,286,11,299,11,326
경기도 성남시 분당구,수내고등학교,10,279,10,250,10,246
경기도 군포시,수리고등학교,15,391,15,407,14,390
경기도 수원시 장안구,수성고등학교,12,321,12,296,13,373
경기도 화성시,홍익디자인고등학교,4,113,4,101,4,105
경기도 수원시 팔달구,수원고등학교,13,341,13,339,14,388
경기도 수원시 팔달구,수원공업고등학교,15,426,15,409,15,426
경기도 수원시 장안구,수원농생명과학고등학교,10,284,10,264,10,268
경기도 수원시 팔달구,수원여자고등학교,12,314,12,305,12,340
경기도 수원시 영통구,수원정보과학고등학교,9,248,9,238,9,242
경기도 수원시 권선구,한봄고등학교,10,269,10,219,10,241
경기도 수원시 장안구,수일고등학교,12,314,12,280,12,335
경기도 용인시 수지구,수지고등학교,13,425,13,394,13,448
경기도 구리시,수택고등학교,9,242,9,232,11,278
경기도 수원시 팔달구,숙지고등학교,12,311,12,276,12,329
경기도 성남시 중원구,숭신여자고등학교,10,226,10,210,11,278
경기도 부천시,시온고등학교,12,298,12,262,13,346
경기도 시흥시,시화공업고등학교,9,96,9,81,9,143
경기도 용인시 기흥구,신갈고등학교,10,301,10,270,10,292
경기도 안양시 만안구,신성고등학교,12,334,12,324,13,383
경기도 고양시 일산서구,신일비즈니스고등학교,13,186,12,162,12,284
경기도 평택시,신한고등학교,10,307,10,271,10,294
경기도 동두천시,신흥고등학교,4,117,4,95,4,102
경기도 남양주시,심석고등학교,12,349,12,330,12,376
경기도 부천시,심원고등학교,10,246,10,248,10,263
경기도 안성시,안법고등학교,8,242,8,224,8,222
경기도 안산시 단원구,안산강서고등학교,13,303,13,280,15,376
경기도 안산시 상록구,안산국제비즈니스고등학교,14,290,14,243,14,228
경기도 안산시 상록구,안산고등학교,12,296,12,299,13,345
경기도 안산시 상록구,안산공업고등학교,15,376,15,378,15,393
경기도 안산시 상록구,안산동산고등학교,12,335,12,385,12,390
경기도 안산시 상록구,안산디자인문화고등학교,13,326,13,333,13,346
경기도 안성시,안성고등학교,7,215,7,220,7,255
경기도 안성시,두원공업고등학교,8,223,8,232,8,261
경기도 안성시,안성여자고등학교,6,180,6,188,6,218
경기도 안성시,가온고등학교,10,295,10,281,10,311
경기도 안양시 만안구,안양고등학교,12,319,12,303,12,328
경기도 안양시 만안구,안양공업고등학교,15,169,15,201,15,292
경기도 안양시 만안구,안양여자고등학교,8,216,8,210,8,228
경기도 안양시 만안구,안양여자상업고등학교,8,169,9,182,9,191
경기도 안양시 만안구,안양예술고등학교,8,311,8,266,8,285
경기도 안양시 만안구,안양외국어고등학교,10,232,10,221,10,240
경기도 평택시,경기물류고등학교,6,154,6,149,6,145
경기도 평택시,안중고등학교,8,170,8,167,8,219
경기도 성남시 분당구,야탑고등학교,10,274,10,250,10,270
경기도 김포시,양곡고등학교,7,215,7,191,7,194
경기도 양평군,양동고등학교,3,71,3,60,3,73
경기도 안양시 만안구,양명고등학교,13,378,13,350,13,396
경기도 안양시 만안구,양명여자고등학교,13,366,13,334,13,383
경기도 양평군,양서고등학교,9,230,9,214,9,234
경기도 성남시 분당구,양영디지털고등학교,9,190,9,189,9,169
경기도 양평군,양일고등학교,8,225,8,202,8,242
경기도 안산시 단원구,양지고등학교,12,280,12,251,14,340
경기도 양평군,양평전자과학고등학교,4,68,4,70,4,107
경기도 양평군,양평고등학교,7,180,7,182,7,195
경기도 여주시,여강고등학교,3,83,3,81,3,89
경기도 여주시,여주고등학교,6,167,6,159,6,161
경기도 여주시,세종고등학교,6,170,6,171,6,172
경기도 여주시,여주자영농업고등학교,5,137,5,148,5,141
경기도 여주시,여주제일고등학교,6,135,6,160,6,176
경기도 연천군,연천고등학교,4,46,4,56,4,74
경기도 수원시 영통구,영덕고등학교,13,366,13,346,15,441
경기도 성남시 분당구,분당영덕여자고등학교,10,269,10,238,11,288
경기도 수원시 팔달구,영복여자고등학교,12,314,12,278,12,315
경기도 포천시,영북고등학교,3,52,3,49,3,45
경기도 수원시 장안구,영생고등학교,12,317,12,280,12,331
경기도 의정부시,동국대학교사범대학부속영석고등학교,10,255,10,265,10,281
경기도 수원시 권선구,영신여자고등학교,12,291,12,280,12,296
경기도 오산시,오산고등학교,10,297,10,275,10,319
경기도 오산시,오산정보고등학교,9,243,9,217,9,248
경기도 양평군,용문고등학교,6,136,6,132,6,160
경기도 용인시 처인구,용인고등학교,13,374,13,371,13,393
경기도 용인시 처인구,용인바이오고등학교,4,47,4,39,3,75
경기도 용인시 처인구,덕영고등학교,10,242,10,221,10,252
경기도 군포시,용호고등학교,15,430,15,396,15,442
경기도 의왕시,우성고등학교,12,266,12,254,12,315
경기도 안산시 단원구,원곡고등학교,14,325,14,306,16,399
경기도 부천시,원미고등학교,10,257,10,268,10,287
경기도 부천시,원종고등학교,10,234,10,252,10,275
경기도 수원시 팔달구,유신고등학교,13,347,13,329,14,391
경기도 파주시,율곡고등학교,6,131,6,118,6,142
경기도 이천시,율면고등학교,1,17,1,17,1,20
경기도 시흥시,은행고등학교,12,333,12,296,12,362
경기도 평택시,은혜고등학교,10,268,10,251,10,277
경기도 의정부시,의정부고등학교,13,322,13,323,13,354
경기도 의정부시,의정부공업고등학교,18,363,18,386,18,437
경기도 의정부시,의정부여자고등학교,11,264,13,250,13,260
경기도 성남시 분당구,이매고등학교,10,285,10,251,10,286
경기도 이천시,이천고등학교,10,262,10,267,10,300
경기도 이천시,이천제일고등학교,15,387,15,398,15,390
경기도 이천시,이천양정여자고등학교,10,261,10,265,10,294
경기도 이천시,다산고등학교,8,209,8,214,8,222
경기도 여주시,이포고등학교,3,33,3,34,3,56
경기도 구리시,인창고등학교,9,246,9,239,11,279
경기도 포천시,일동고등학교,5,91,5,69,6,105
경기도 고양시 일산서구,일산고등학교,10,250,10,264,10,252
경기도 고양시 일산서구,일산대진고등학교,13,350,13,332,15,404
경기도 고양시 일산서구,일산동고등학교,12,323,12,326,12,352
경기도 고양시 일산서구,일산국제컨벤션고등학교,12,296,12,242,12,280
경기도 안성시,일죽고등학교,2,41,2,49,2,48
경기도 시흥시,장곡고등학교,9,239,9,223,9,264
경기도 수원시 장안구,장안고등학교,10,272,10,247,10,294
경기도 이천시,부원고등학교,5,121,6,132,6,156
경기도 이천시,장호원고등학교,5,117,5,114,5,136
경기도 고양시 일산동구,저동고등학교,12,326,12,315,14,377
경기도 파주시,경기세무고등학교,2,27,2,24,2,21
경기도 연천군,전곡고등학교,10,197,10,240,10,262
경기도 여주시,점동고등학교,2,53,2,51,2,57
경기도 부천시,정명고등학교,12,268,12,240,13,241
경기도 부천시,경기경영고등학교,11,256,11,240,11,243
경기도 고양시 일산동구,정발고등학교,12,327,12,295,13,337
경기도 시흥시,정왕고등학교,12,387,10,309,11,315
경기도 가평군,조종고등학교,4,47,4,58,4,73
경기도 고양시 일산서구,주엽고등학교,13,358,13,347,15,424
경기도 고양시 일산서구,경기영상과학고등학교,10,253,10,255,10,257
경기도 안성시,죽산고등학교,4,28,4,32,4,42
경기도 용인시 수지구,죽전고등학교,12,376,12,350,12,384
경기도 고양시 일산동구,중산고등학교,12,317,12,299,13,352
경기도 부천시,중원고등학교,10,251,10,237,10,289
경기도 부천시,중흥고등학교,10,255,10,268,10,282
경기도 양평군,지평고등학교,3,29,2,24,2,28
경기도 남양주시,진건고등학교,12,337,12,323,12,356
경기도 광명시,진성고등학교,10,243,10,216,10,244
경기도 평택시,진위고등학교,8,113,8,139,8,173
경기도 여주시,경기관광고등학교,4,103,4,103,4,91
경기도 수원시 팔달구,창현고등학교,14,379,14,368,16,447
경기도 평택시,청담고등학교,9,217,9,241,9,245
경기도 수원시 영통구,청명고등학교,13,349,13,336,13,355
경기도 양평군,청운고등학교,1,16,1,23,1,30
경기도 가평군,청평고등학교,4,60,4,86,4,103
경기도 남양주시,청학고등학교,8,210,10,169,10,271
경기도 안산시 단원구,초지고등학교,12,277,12,260,14,347
경기도 광명시,충현고등학교,10,210,10,228,10,231
경기도 평택시,태광고등학교,10,271,10,275,10,300
경기도 용인시 처인구,태성고등학교,9,249,9,247,9,252
경기도 성남시 분당구,태원고등학교,12,344,12,320,13,382
경기도 수원시 영통구,태장고등학교,13,350,13,337,15,440
경기도 구리시,토평고등학교,9,241,9,241,11,299
경기도 김포시,통진고등학교,10,265,10,233,10,252
경기도 남양주시,퇴계원고등학교,12,314,12,317,12,345
경기도 파주시,세경고등학교,10,279,10,292,10,288
경기도 파주시,파주여자고등학교,9,81,9,62,9,114
경기도 파주시,파주고등학교,5,103,5,111,5,111
경기도 수원시 영통구,수원하이텍고등학교,8,163,8,159,8,154
경기도 안양시 동안구,평촌고등학교,13,386,13,363,13,404
경기도 안양시 동안구,평촌공업고등학교,12,302,12,275,12,284
경기도 안양시 동안구,평촌경영고등학교,13,324,13,312,13,308
경기도 평택시,평택고등학교,9,279,9,254,9,276
경기도 평택시,평택기계공업고등학교,8,162,8,153,8,150
경기도 평택시,평택여자고등학교,12,359,12,323,12,350
경기도 포천시,포천고등학교,10,247,10,233,10,246
경기도 포천시,포천일고등학교,11,147,11,184,11,247
경기도 용인시 수지구,풍덕고등학교,14,465,14,422,14,476
경기도 성남시 수정구,풍생고등학교,10,240,10,219,11,271
경기도 하남시,하남고등학교,10,279,10,250,10,257
경기도 하남시,하남경영고등학교,12,191,12,240,12,263
경기도 김포시,하성고등학교,5,96,5,84,5,87
경기도 평택시,한광고등학교,10,309,10,278,10,303
경기도 평택시,한광여자고등학교,11,336,11,306,11,293
경기도 평택시,한국관광고등학교,3,85,3,82,3,89
경기도 이천시,한국도예고등학교,3,76,3,74,3,68
경기도 안산시 단원구,한국디지털미디어고등학교,6,208,6,199,6,214
경기도 하남시,한국애니메이션고등학교,4,100,4,95,4,100
경기도 시흥시,한국조리과학고등학교,6,244,6,246,6,238
경기도 성남시 분당구,한솔고등학교,10,286,10,256,10,288
경기도 시흥시,경기자동차과학고등학교,8,240,8,229,8,216
경기도 시흥시,함현고등학교,10,307,10,254,10,287
경기도 고양시 덕양구,행신고등학교,12,313,12,279,12,314
경기도 의정부시,호원고등학교,11,281,11,290,11,311
경기도 화성시,화성고등학교,9,276,9,279,9,333
경기도 고양시 덕양구,화수고등학교,12,313,12,288,12,330
경기도 고양시 덕양구,화정고등학교,12,311,12,268,12,310
경기도 수원시 권선구,화홍고등학교,13,342,13,321,14,394
경기도 평택시,효명고등학교,10,274,10,274,10,293
경기도 성남시 수정구,효성고등학교,10,220,10,206,10,253
경기도 수원시 영통구,효원고등학교,13,356,13,331,14,411
경기도 군포시,흥진고등학교,13,335,14,351,14,384
경기도 성남시 분당구,돌마고등학교,9,244,9,234,9,270
경기도 의정부시,부용고등학교,10,253,10,264,10,283
경기도 부천시,경기예술고등학교,6,248,6,241,6,234
경기도 안산시 상록구,송호고등학교,14,349,14,363,16,495
경기도 시흥시,시흥고등학교,12,327,12,320,13,386
경기도 오산시,운천고등학교,10,295,10,280,10,331
경기도 용인시 수지구,서원고등학교,12,377,12,328,12,372
경기도 수원시 장안구,천천고등학교,10,266,10,239,10,290
경기도 수원시 장안구,조원고등학교,10,254,10,227,10,277
경기도 성남시 분당구,늘푸른고등학교,10,270,10,252,10,283
경기도 안양시 만안구,충훈고등학교,11,277,11,263,12,281
경기도 부천시,상일고등학교,9,209,10,178,10,268
경기도 부천시,송내고등학교,10,235,10,210,10,246
경기도 용인시 기흥구,구성고등학교,10,284,10,266,10,299
경기도 수원시 영통구,매탄고등학교,12,323,12,298,12,318
경기도 안양시 동안구,인덕원고등학교,11,310,11,296,12,320
경기도 부천시,범박고등학교,10,249,10,253,10,266
경기도 양주시,덕계고등학교,8,258,8,250,8,269
경기도 안산시 단원구,단원고등학교,11,248,12,247,12,272
경기도 시흥시,군서고등학교,10,323,10,300,10,304
경기도 고양시 일산동구,풍동고등학교,10,265,10,264,10,266
경기도 남양주시,도농고등학교,10,290,10,275,11,322
경기도 남양주시,평내고등학교,10,291,10,283,10,313
경기도 하남시,신장고등학교,8,221,8,198,8,195
경기도 이천시,효양고등학교,10,260,10,248,10,281
경기도 용인시 기흥구,보정고등학교,11,339,11,295,11,351
경기도 김포시,풍무고등학교,12,390,10,334,12,389
경기도 화성시,병점고등학교,10,349,10,313,10,354
경기도 파주시,봉일천고등학교,10,269,10,252,10,299
경기도 파주시,교하고등학교,10,314,10,278,10,302
경기도 의정부시,상우고등학교,10,251,10,251,10,289
경기도 성남시 분당구,이우고등학교,4,82,4,76,4,79
경기도 의왕시,경기외국어고등학교,8,204,8,200,8,204
경기도 의정부시,경기북과학고등학교,5,101,5,104,5,68
경기도 동두천시,동두천외국어고등학교,8,214,8,192,8,204
경기도 파주시,금촌고등학교,12,343,12,338,12,350
경기도 용인시 처인구,용인한국외국어대학교부설고등학교,10,358,10,366,10,358
경기도 양주시,양주백석고등학교,9,225,9,240,9,291
경기도 성남시 분당구,성남외국어고등학교,8,213,8,211,8,205
경기도 안산시 상록구,성포고등학교,12,294,12,308,13,388
경기도 수원시 영통구,수원외국어고등학교,8,216,8,204,8,209
경기도 가평군,청심국제고등학교,4,105,4,103,4,101
경기도 평택시,현화고등학교,10,261,10,262,10,272
경기도 남양주시,호평고등학교,10,269,10,271,10,293
경기도 김포시,김포외국어고등학교,8,183,8,166,8,175
경기도 용인시 기흥구,용인백현고등학교,9,275,9,248,9,276
경기도 안성시,한겨레고등학교,2,22,2,21,2,46
경기도 고양시 일산서구,가좌고등학교,12,319,12,307,12,328
경기도 양주시,양주고등학교,8,172,8,165,8,201
경기도 포천시,송우고등학교,11,321,10,298,11,337
경기도 부천시,상원고등학교,10,250,10,265,10,286
경기도 고양시 덕양구,성사고등학교,10,247,10,236,10,265
경기도 용인시 기흥구,성지고등학교,12,363,12,325,12,353
경기도 용인시 수지구,현암고등학교,8,196,8,194,8,224
경기도 용인시 수지구,홍천고등학교,12,381,12,336,12,383
경기도 의정부시,효자고등학교,11,281,11,292,11,311
경기도 고양시 일산서구,고양예술고등학교,7,286,7,264,7,259
경기도 용인시 수지구,대지고등학교,10,312,10,272,10,329
경기도 화성시,동탄고등학교,10,320,10,329,10,390
경기도 화성시,안화고등학교,10,345,10,329,10,368
경기도 오산시,운암고등학교,8,236,8,231,8,229
경기도 용인시 기흥구,동백고등학교,10,307,10,260,10,311
경기도 수원시 영통구,망포고등학교,10,267,10,259,10,274
경기도 수원시 영통구,매원고등학교,11,289,11,283,11,299
경기도 화성시,반송고등학교,10,345,10,322,10,353
경기도 화성시,봉담고등학교,8,282,8,286,8,317
경기도 화성시,예당고등학교,10,339,10,304,10,299
경기도 부천시,수주고등학교,8,157,8,164,8,202
경기도 고양시 덕양구,고양일고등학교,8,204,8,187,8,205
경기도 고양시 일산동구,안곡고등학교,12,319,12,314,12,334
경기도 남양주시,와부고등학교,8,247,8,216,8,203
경기도 수원시 권선구,고색고등학교,10,260,10,253,10,267
경기도 화성시,나루고등학교,8,255,8,248,8,284
경기도 용인시 기흥구,보라고등학교,8,245,8,214,8,249
경기도 용인시 기흥구,초당고등학교,10,297,10,263,10,305
경기도 성남시 수정구,복정고등학교,8,187,8,163,8,174
경기도 용인시 처인구,포곡고등학교,10,279,10,283,10,305
경기도 화성시,향남고등학교,8,233,8,258,8,286
경기도 용인시 기흥구,청덕고등학교,10,295,10,260,10,282
경기도 시흥시,시흥능곡고등학교,11,297,11,314,11,339
경기도 시흥시,시흥매화고등학교,8,205,8,205,8,224
경기도 의정부시,발곡고등학교,10,255,11,266,11,260
경기도 시흥시,신천고등학교,10,260,10,255,10,279
경기도 안산시 단원구,선부고등학교,12,265,12,230,12,272
경기도 남양주시,오남고등학교,12,350,12,336,12,364
경기도 의왕시,의왕고등학교,8,177,8,185,8,221
경기도 평택시,이충고등학교,10,269,10,268,10,290
경기도 김포시,장기고등학교,10,323,10,300,10,327
경기도 안산시 단원구,신길고등학교,12,271,12,254,12,290
경기도 광주시,광남고등학교,10,253,10,248,10,333
