지역, 학교명, 1학년 학급수, 1학년 학생수, 2학년 학급수, 2학년 학생수, 3학년 학급수, 3학년 학생수
대구광역시 달서구,송현여자고등학교,11,275,11,266,12,351
대구광역시 수성구,시지고등학교,12,359,12,331,12,367
대구광역시 중구,신명고등학교,9,239,9,224,10,267
대구광역시 남구,심인고등학교,6,131,7,158,8,164
대구광역시 달서구,영남고등학교,15,426,15,395,15,465
대구광역시 수성구,영남공업고등학교,19,450,19,408,19,474
대구광역시 북구,영송여자고등학교,9,206,9,191,10,260
대구광역시 동구,영신고등학교,11,245,11,242,12,272
대구광역시 북구,영진고등학교,10,200,10,201,10,234
대구광역시 수성구,오성고등학교,9,205,9,202,10,281
대구광역시 달서구,와룡고등학교,9,211,9,196,10,269
대구광역시 북구,운암고등학교,9,270,9,257,10,309
대구광역시 달서구,원화여자고등학교,14,332,14,304,15,391
대구광역시 동구,정동고등학교,9,179,9,186,9,193
대구광역시 수성구,정화여자고등학교,13,310,13,275,14,371
대구광역시 동구,조일고등학교,8,188,8,147,8,79
대구광역시 수성구,대구중앙고등학교,10,259,10,254,10,288
대구광역시 동구,청구고등학교,11,263,11,274,11,295
대구광역시 달성군,포산고등학교,4,106,4,101,3,69
대구광역시 달성군,현풍고등학교,6,143,6,139,6,168
대구광역시 남구,협성고등학교,9,193,9,182,10,201
대구광역시 달성군,화원고등학교,10,275,10,270,10,288
대구광역시 달서구,효성여자고등학교,10,276,10,248,10,264
대구광역시 북구,대구체육고등학교,2,75,2,54,2,67
대구광역시 달서구,대곡고등학교,10,290,10,275,10,310
대구광역시 달서구,성산고등학교,10,240,10,239,10,275
대구광역시 북구,학남고등학교,10,301,10,278,10,308
대구광역시 달서구,도원고등학교,9,216,9,223,10,264
대구광역시 동구,강동고등학교,9,258,9,237,9,266
대구광역시 수성구,동문고등학교,11,257,11,251,11,308
대구광역시 동구,달구벌고등학교,2,33,2,38,2,36
대구광역시 수성구,수성고등학교,11,277,11,267,11,306
대구광역시 달서구,대진고등학교,10,237,10,252,10,295
대구광역시 북구,매천고등학교,9,242,9,237,9,258
대구광역시 북구,함지고등학교,9,241,9,233,9,253
대구광역시 달서구,호산고등학교,10,237,10,231,10,267
대구광역시 북구,칠성고등학교,6,139,6,143,6,148
대구광역시 동구,대구일과학고등학교,4,81,4,80,4,47
대구광역시 달성군,비슬고등학교,11,282,11,250,12,321
대구광역시 남구,대구고등학교부설방송통신고등학교,8,218,6,178,6,181
인천광역시 중구,인천해사고등학교,6,120,6,120,6,112
인천광역시 서구,가정고등학교,10,276,11,274,11,320
인천광역시 강화군,강남영상미디어고등학교,3,72,3,75,3,69
인천광역시 강화군,강화고등학교,6,170,6,156,6,148
인천광역시 강화군,강화여자고등학교,7,168,7,164,7,157
인천광역시 서구,검단고등학교,10,253,10,220,10,258
인천광역시 서구,인천보건고등학교,8,191,8,174,8,200
인천광역시 계양구,계산고등학교,9,228,9,239,9,269
인천광역시 계양구,계산공업고등학교,10,241,10,244,10,278
인천광역시 계양구,계산여자고등학교,9,201,9,200,9,226
인천광역시 계양구,계양고등학교,8,185,8,191,9,235
인천광역시 중구,광성고등학교,9,197,8,181,9,201
인천광역시 강화군,교동고등학교,1,12,1,8,1,8
인천광역시 강화군,산마을고등학교,1,20,1,20,1,20
인천광역시 서구,대인고등학교,12,359,12,340,12,373
인천광역시 옹진군,대청고등학교,1,6,1,4,1,5
인천광역시 동구,재능고등학교,10,242,10,252,10,278
인천광역시 강화군,덕신고등학교,3,84,3,87,3,80
인천광역시 옹진군,덕적고등학교,1,5,1,11,1,10
인천광역시 동구,동산고등학교,8,172,8,170,9,201
인천광역시 남동구,동인천고등학교,9,230,9,218,9,245
인천광역시 부평구,명신여자고등학교,9,214,9,170,10,186
인천광역시 남동구,인천금융고등학교,9,217,9,221,9,240
인천광역시 남동구,문일여자고등학교,13,370,13,326,13,341
인천광역시 남구,문학정보고등학교,8,159,10,190,10,222
인천광역시 옹진군,백령고등학교,2,26,2,25,2,22
인천광역시 서구,백석고등학교,12,332,11,321,12,389
인천광역시 부평구,부개여자고등학교,10,206,10,214,10,204
인천광역시 부평구,부광고등학교,9,241,9,201,11,267
인천광역시 부평구,부광여자고등학교,8,177,8,180,9,203
인천광역시 부평구,부평고등학교,10,264,10,211,11,259
인천광역시 부평구,부평공업고등학교,10,241,10,249,10,276
인천광역시 서구,인천세무고등학교,10,241,10,239,10,280
인천광역시 부평구,부평여자고등학교,9,201,9,210,11,248
인천광역시 부평구,인천미래생활고등학교,10,207,10,159,9,118
인천광역시 강화군,삼량고등학교,3,32,3,59,3,43
인천광역시 부평구,삼산고등학교,8,208,8,207,9,225
인천광역시 강화군,서도고등학교,1,1,0,0,1,1
인천광역시 계양구,서운고등학교,8,213,8,201,9,222
인천광역시 서구,서인천고등학교,14,407,14,401,14,444
인천광역시 남동구,석정여자고등학교,8,193,8,185,9,236
인천광역시 남구,선인고등학교,8,163,8,157,8,182
인천광역시 남구,인천비즈니스고등학교,9,204,7,119,11,201
인천광역시 부평구,세일고등학교,9,246,9,213,10,237
인천광역시 연수구,송도고등학교,12,285,12,299,13,344
인천광역시 남동구,숭덕여자고등학교,12,309,11,267,11,318
인천광역시 남동구,신명여자고등학교,11,257,11,261,11,297
인천광역시 연수구,연수고등학교,11,292,11,282,11,319
인천광역시 연수구,연수여자고등학교,10,297,10,278,11,327
인천광역시 옹진군,연평고등학교,1,13,1,10,1,12
인천광역시 부평구,인천외국어고등학교,10,214,10,217,10,218
인천광역시 중구,영종국제물류고등학교,3,71,3,76,3,81
인천광역시 동구,영화관광경영고등학교,10,240,10,226,10,270
인천광역시 남구,인천하이텍고등학교,6,78,6,48,7,62
인천광역시 남구,도화기계공업고등학교,12,204,12,184,12,241
인천광역시 미추홀구,인명여자고등학교,13,357,13,314,13,346
인천광역시 중구,인성여자고등학교,8,186,8,159,8,182
인천광역시 중구,인일여자고등학교,10,229,9,216,10,250
인천광역시 남동구,인제고등학교,11,252,12,264,12,301
인천광역시 남구,인천고등학교,12,297,12,292,13,311
인천광역시 중구,인천공항고등학교,10,302,8,228,8,202
인천광역시 중구,인천과학고등학교,4,81,4,80,4,48
인천광역시 남구,인천기계공업고등학교,14,337,14,348,14,389
인천광역시 남동구,인천남고등학교,9,228,9,214,9,209
인천광역시 연수구,인천대건고등학교,10,273,11,265,11,292
